课程名称	学时	学分
智能建造与装备	32	2
液压传动与控制	48	3
Linux操作系统与Shell开发的理论与实践	32	2
哲学的世界	32	2
等离子体物理	48	3
地基处理	32	2
算法设计与分析	48	3
机器学习原理与应用	48	3
运动控制系统综合实验	64	2
英文经典阅读实践（2）	32	2
专项专修（2）	192	6
数字化监测与农业	32	2
精准农业	32	2
现代力学与工程科学分析	16	1
地下工程施工	32	2
翻译概论	32	2
语料库语言学及应用	32	2
计算机科学导论	48	3
高等光学	48	3
医学史	24	1.5
文化消费导论	32	2
文化行政	32	2
习近平文化思想	32	2
土壤污染与修复	32	2
材料科学与工程导论	48	3
医学系统生物学融通实验	32	1
近代中国诗歌研究	32	2
医学人文	32	2
代谢生物化学	26	1.5
专业实习-风景园林	64	2
运动控制系统课程设计	32	1
过程控制系统课程设计	32	1
毕业设计（论文 ）（计算机科学 ）（A类）	128	8
毕业设计（论文）（计算机科学）（A类）	320	10
控制理论	48	3
网络信息安全概论	32	2
动物营养学	32	2
工程实践与科技创新IV-L	32	2
艺术表达	64	4
工程实践（C类）	32	1
运动训练（6）	64	4
操作系统安全技术与实践	32	2
自然语言处理	32	2
设计表达	64	4
设计调研	32	2
视觉传达设计史	32	2
创意计算	32	2
项目管理与软件设计	32	2
无线网络安全	32	2
普通生物学	32	2
AI设计基础：人工智能编程	48	3
生物防治	32	2
金融数学	32	2
水文与水资源学	32	2
食品安全风险评估	32	2
生物质能工程	32	2
大学基础物理	80	5
生物学导论（B类）	48	3
岩土模型设计与制作	32	1
建筑结构	32	2
建筑设计及原理（2-2）	128	8
机电控制技术	48	3
MATLAB／Simulink入门与应用实践	32	2.0
计算机控制技术	48	3
运动控制系统	32	2
专业研讨课（4）	32	1
资源与环境信息技术	32	2
可持续发展设计（冬季项目）	32	2
语料库语言学导论	32	2
结构力学（B类）（1）	64	4
计算物理导论	48	3
物理学实验（3）	48	3
风景园林设计4	32	2
结构模型设计与制作	32	1
计算机系统结构实验	32	2
工程实践与科技创新Ⅳ-A（卓工）	64	2
生物工程单元操作原理（1）	32	2
细胞生物学讨论课	16	1
感知与认知	48	3
信息内容安全的理论与应用	32	2
机器人综合实践	32	2
设计中的文化和社会问题	48	3
程序验证	48	3
微生物学与免疫学	48	3
分子生物学讨论课	16	1
医学生职业生涯规划（2）	15	1
高级生物化学	48	3
海洋结构物动力学	48	3
批判性思维与学术写作	32	2
现代结构实验技术	32	2
语言智能	32	2
信号与系统（B类）	48	3
线性规划与非线性规划	32	2
微生物学与免疫学实验	48	1.5
人体解剖生理学	48	3
现代控制理论（B类）	48	3
李群与李代数	48	3
天然药物野外实践	16	0.5
AI for Science: 科学智能理论与应用	32	2
定性研究	16	1
宏观经济政策分析	32	2
数据挖掘及大数据分析	64	4
软件测试	32	2
影视理论与批评	32	2
工程物理与化学基础（3）	48	3
工程物理与化学基础（4）	64	4
基础物理化学	32	2
智慧能源工程导论	48	3
概率论与数理统计	48	3
互联网与新媒体发展案例研究	32	2
实验研究	16	1
网络系统与控制	48	3
云计算技术	48	3
问题求解指导(2)	48	3
前期导师（2）	16	1
国际法	48	3
神话与创意	32	2
西方文学史（2）	32	2
大型航天器在轨组装动力学	16	1
机械与动力仿真实践（机械类）	64	4
政治哲学：从柏拉图到卢梭	32	2
天文研究实践 II	16	1
习近平法治思想概论	32	2
生物伦理学	32	2
生物能源	32	2
中国古典诗词精读	32	2
古代经典诵读（2）	16	1
视觉系统建构	32	2
智能农业装备	32	2
核反应堆热工水力	48	3
能源材料基础	64	4
古代汉语(2）	32	2
创意写作（中阶）	32	2
中国文学与自然科学	32	2
神话重述写作	32	2
大健康与智能感知	32	2.0
天文研究导论	32	2
宇宙论的历史与哲学	32	2.0
德汉互译（口译）	32	2
微生物实验	32	1
口译（1）	32	2
概率论	64	4
近世代数	48	3
汉英笔译（1）	32	2
电工与电子技术（A类）	40	2.5
材料科学基础（2）	48	3
日语写作（4）	32	2
日语口译（2）	16	1
论文指导（日语）	16	1
汽车理论	48	3
发动机原理与先进技术	48	3
能源清洁利用与碳捕集技术	48	3
计算固体力学与程序设计	64	4
蔬菜学	32	2.0
花卉学	32	2.0
汉语口语交际（2）	64	4
复杂系统动力学计算机辅助设计	64	4
毕业设计（论文）（航空航天工程）	160	10
电力系统自动化	32	2
飞行器结构力学	48	3
水声测量技术	48	3
生物技术药物	32	2
微生物学（D类）	48	3
专业实习（智慧农业）	64	2
农业生产学	64	4
大学英语N（2）	32	2
药物设计与开发Ⅱ（生物药）	32	2
电力储能技术与应用	32	2
毕业设计（论文）（微电子）	128	4
移动机器人	32	2
叙事性设计	96	6
可信人工智能与伦理	32	2
科技实习与创新（2）－生物工程	32	1
海洋技术导论	48	3
发育与再生生物学	64	4
发育与再生生物学讨论课	32	2
计算机网络	64	4
综合俄语1	48	3
航空航天概论	32	2
强基专业研讨I	32	2
毕业设计（论文）（化学（高分子））	320	10
毕业设计（论文）（化学（强基））	256	8
现代汉语（2）	32	2
鲁迅与中外文化	32	2
生物学实验3	96	3
中国古代文学批评	32	2
商务汉语综合（2）	64	4
语言统计	32	2
传播伦理与法规	32	2
日文阅读实践	32	2
工程实践	96	3
计算机工程实践	32	1
习近平法治思想专题	32	2.0
药物分析	48	3
临床药物动力学	32	2
前沿探索实验课程	16	1
大气海洋动力学（1）	48	3
金工实习（1）	51	1
土壤与植物营养学	32	2
区块链技术	48	3
媒介批评	32	2
文化市场营销	32	2
点集拓扑	16	1
国际私法	32	2
婚姻家庭法	32	2
破产法	32	2
国际金融法	32	2
概率与统计	32	2
工程流体力学（A类）	48	3
计算方法与程序设计基础	32	2
仪器分析	64	3
新媒体内容生产与运营	32	2
数字文化产业概论	48	3
文化产业经济学	32	2
食品工程原理	64	4
德语写作（2）	32	2
句法学	32	2
翻译技术	32	2
日语词汇	32	2
日语演讲比赛（2）	16	1
日语口语（3）	32	2
电机学（上）	32	2
人居环境史	32	2
中国书画	32	2
人体结构与功能	80	5
高级汉语演讲（2）	32	2.0
1930年代上海文学地图	16	1.0
微生物工程实验	48	1.5
分子生物学	48	3
控制导论	32	2
中级汉语（1）	64	4.0
中级汉语（2）	64	4.0
物理研究导论	32	2
专业实习（法学）	160	10
有机化学	64	4
权力与富足：国家安全的国际政治经济学	32	2.0
基础生理学	32	2
计算材料学	48	3.0
小动物临床诊疗技术	48	2.5
毕业设计（论文）（生物技术专业）	384	12
毕业设计（论文）（物理学）	192	12
毕业设计（论文）（国际航运）	128	4
生物药剂学与药物动力学	32	2
国际经济法	32	2
毕业设计（论文）（智慧农业）	320	10
审计学	48	3
校内实训	16	1.0
影视制作实践：影视美术基础	32	2
工程力学实验（A类）	32	2
推进原理	64	4
土木工程学导论	32	2
高级编译器课程设计	32	2
学子讲坛（4）	32	2
环境化学	48	3
物理专业实验	48	3
编译原理	32	2
影像后期技术与制作	48	3
文化与科技概论	32	2
文化资源概论	32	2
体育N（2）	32	2
运动解剖学	32	2
高等线性代数	96	6
无人驾驶算法开发	48	3
编译原理（A类）	48	3
材料加工原理	80	5
计算机系统结构（强化）	48	3
现代操作系统	48	3
检测技术A	48	3
体育N（4）	32	2
法语 4	64	4
数据新闻与信息可视化	32	2
新闻编辑与评论	32	2
材料机械性能	48	3
德语语言学引论	32	2
过程控制系统	48	3
数据可视化与可视分析	48	3
英汉笔译（1）	32	2
编译原理与AI工具链	32	2
工程实践与科技创新Ⅳ-J	32	2
程序语言理论	48	3
材料科学基础	32	2
早期接触临床	32	1
药事管理	32	2
毕业设计（论文）（信工）	128	4
计算机视觉（强化）	48	3
虚拟现实与增强显示技术	48	3
数据库原理	48	3
科技实习与创新－生物医学工程（1）	32	2
水下机器人	32	2
数字集成电路设计课程设计	32	2
管理学原理（A类）	32	2
国际贸易实务（A类）	32	2
信息化教学设计与实践	48	3
专业认知实践（农业资源与环境）	64	2
植物发育生物学	32	2
毕业设计（论文）（生物科学）（A类）	192	6
遗传学与进化	32	2
中国当代文学	48	3
遗传学实验(C类)	32	1
植物生理学	48	3
动物繁殖学	32	2
动物生理学	64	3.5
高等分析（笛卡尔班）	64	4
毕业论文（法学）	320	10
工程体验与创新	64	2
日语二外（2）	64	4
环境生物技术	32	2
射频集成电路设计引论	32	2
产品信息架构	32	2
智能产品设计：流程与方法	64	4
模拟集成电路课程设计	32	2
设计自动化引论	32	2
亲生物性景观设计	64	4
食品机械与设备	32	2
城市生态学	32	2
食品物流学	32	2
日语技能训练（2）	64	4
海洋环境学（N）	32	2
算法I	48	3
程序设计与数据结构Ⅱ	64	3
景观植物学	48	3
景观植物认知实践	32	2
服务管理	32	2
随机模型	48	3
语料库语言学及应用（德语）	32	2
景观建筑与生境花园	32	2
植物生理学实验	48	1.5
电化学能源储存与转换原理	48	3
能源材料	48	3
习近平经济思想概论	32	2.0
环境行为心理学	32	2
景观低碳技术	32	2
Python程序设计	48	3
人工智能-编程基础	32	2
物理学实验	48	1.5
大语言模型	48	3
食品微生物实验	48	1.5
日语精读（6）	64	4
毕业设计（论文）（日语）	128	8
日语二外(4)	64	4
有机化学(1)	64	4
生物学导论（宏观生物学）	64	4
半导体物理	32	2
科技实习与创新－生物科学（1）	32	1
汽车构造与设计	48	3
新能源汽车技术	48	3
制冷与热管理技术	48	3
叶轮机械原理	48	3
合同法	48	3
生物化学II	32	2
生物工程伦理	16	1
图像处理与视觉	48	3
实验动物学	32	2
日本影视作品语言鉴赏	32	2
计算机科学的数学基础	48	3
高级数据结构	48	3
热学	48	3
天文学导论	32	2
新媒体与数字文化	32	2
视听语言	32	2
管理学原理	32	2
环境工程与环境信息技术综合实验	48	1.5
致远学术报告	16	1
智慧能源与能源互联网	48	3
学子讲坛（2）	32	2
毕业论文	192	6
研讨课II	48	3
固体化学	32	2
高等数学	32	2
海洋无人观测系统与实践	48	3
影视广告	32	2
量子化学	48	3
大学化学实验	16	1
植物化学	32	2
工程实践与科技创新IV-K	32	2
遗传学讨论课	32	2
海洋科学探索	16	1
葡萄与葡萄酒	32	2
中国文学史（2）	64	4
生物计算编程语言	32	2
人工智能基础（智慧能源）	32	2
信息安全的数学基础（2）	32	2
人工智能安全技术	32	2
营养与代谢基础	64	4
汉语二（下）	30	2
当代中国电影中的中国社会	45	3
现代操作系统（强化）	48	3
人工智能算法实践	64	2
广义相对论与天体物理	64	4
Linux内核	48	3
高级宏观经济学（一）	48	3
高级微观经济学（二）	48	3
产品设计3：交通工具设计	64	4
计算机辅助设计2	32	1
品牌文化与形象	64	4
专业实践2	32	2
装置设计	32	2
电动力学	64	4
量子力学I	64	4
低碳健康材料与构造	32	2
材料工程论坛	32	2
食品工艺学	48	3
有机化学实验（2）	48	1.5
设计研究写作入门	32	2
经贸口语（2）	32	2
线性代数II	80	5
原子物理	64	4
西方哲学原著选读	48	3.0
化工原理基础	32	2
海洋公园海洋生态系统实践	32	2.0
环境工程实验	64	2
日语精读（3）	96	6.0
环境经济学	32	2
工业废气治理技术	32	2
给水排水工程概论	32	2
固体废弃物处理和处置	48	3
科技实习与创新－生物技术（3）	32	1
商务汉语综合A（2）	64	4
教育学	48	3
设计素描	32	2.0
色彩艺术	32	2.0
周易哲學	32	2.0
现代天文学	48	3
质量管理学	48	3
可靠性工程与管理	48	3
微纳电子科技前沿讲座	32	2
问题求解研究(1)	48	3
高级汉语阅读（2）	32	2.0
网络环境下的文科信息检索	32	2.0
芳香疗法与身心健康	32	2.0
生命科学导论	32	2
组学大数据	48	3
毕业设计(论文)(药学)	320	10
音乐教学法	32	2.0
艺术理论与实践	32	2.0
电路理论（荣誉）	48	3
汉英笔译（2）	32	2.0
日语精读（1）	96	6.0
高级德语（1）	64	4.0
德国历史	32	2.0
离散数学（荣誉）	48	3
大学语文（2）	64	4
飞行器智能设计与制造	32	2.0
英汉笔译（2）	32	2.0
日语视听说（1）	32	2.0
德语写作（1）	32	2.0
中级法语	96	6.0
Unreal程序开发与实践	32	2.0
汉语写作	64	4
专利法	32	2.0
自然启迪的材料制备科学	32	2.0
电影审美	32	2.0
碳中和商业与科技	32	2.0
科普与科幻文学	32	2
神经科学与神经技术	64	4
金融学原理	48	3
中级财务会计学	48	3
技术商业化理论与途径	32	2
货币金融学	32	2
高频电路(研）	48	3
心镜自照：自我探索与成长	32	2.0
应用数学方法（1）	56	3
国际经济学（2）	32	2
遗传学（A类）	32	2
回归分析	48	3
组织行为学	32	2
电子废物-资源-环境	32	2.0
中国社会创新创业发展	32	2.0
数字财务	32	2
国际经济学（1）	48	3
垒球	32	1.0
现代物理	45	3
企业经营实战模拟	32	2.0
算法与复杂性	48	3
算法与复杂性（强化）	48	3
生物医学科学导论-2	16	1
组织智能化	32	2.0
中国古典美学研究	48	3.0
生物信息学综合实践课：解码生命信息	32	2.0
前沿分析技术在日常生活中的应用探究与实践	32	2.0
AI智能体与具身智能	32	2.0
有机化学实验	64	2
电磁学和光学	64	4
陶艺与艺术铸造	32	2.0
中国美术史	32	2.0
篆、隶、楷书	32	2.0
法学导论	32	2.0
毕业设计（论文）（电气）	128	4
毕业设计(论文)(环境科学与工程)	128	4
水处理工程设计	64	2
危险废物控制原理	32	2
金融汉语综合（2）	64	4
古代汉语（1）	32	2
综合英语（B类）（4）	32	2
花卉应用学	32	2.0
造型艺术实践-木刻版画	32	2.0
碳中和产教融合创新实践	32	2.0
法律文书	32	2
法律英语	32	2
机器学习理论	48	3
基础德语（1）	96	6.0
神话学导论	32	2.0
广义线性模型	32	2
蛋白质与酶工程	32	2
VLSI数字通信原理与设计	48	3
生物医学图像处理(2)	32	2
集成电路与微系统封装技术	32	2
组织工程	32	2
化学海洋学	48	3
生物海洋学	48	3
智能编程及科学计算	32	2.0
宇宙学导论	48	3
毕业设计（论文）（植物科学与技术）	320	10
生物材料	32	2
微机电系统课程设计	32	2
纳电子器件	32	2
电子器件与电路测试课程设计	32	2
混合信号集成电路设计引论	32	2
无人机系统总体设计	32	2.0
工程经济学(F类)	32	2.0
世界文学思潮比较	32	2
当代译学研究	32	2
德语演讲比赛	32	2
综合设计表达	32	2
智能机器人导论	48	3
证券投资分析	32	2.0
产业研究	32	2.0
智能电子系统创新实践	64	2
神奇的蘑菇	32	2.0
微积分与应用	64	4
跨文化研究理论与实践	32	2
刑法分论	64	4
生物工程单元操作实验（1）	32	1
中国古代史	48	3.0
儿科学	32	2
临床药物治疗学	96	6
物流与供应链	48	3
综合俄语3	48	3
互联网应用开发技术	48	3
英语文学经典选读	32	2
日本文学专题研讨（2）	32	2
流动传热基础	48	3
文创产品设计	64	4
材料物理性能	32	2
诸子百家的世界	32	2
工程实践与科技创新Ⅳ-E	32	2
专业实习（植物科学与技术）	64	2
常微分方程和偏微分方程的数值方法	48	3
汉语五（上）	30	2
汉语五（下）	30	2
网络文学概论	32	2
西方现代文艺思潮	32	2
植物与环境	32	2
法理学	32	2
中国法制史	32	2
科学前沿与哲学	32	2.0
英语视听说（3）	64	4.0
计算机网络（D类）	48	3.0
专业导师（2）	16	1
生物工程经济	16	1
凝聚态物理	64	4
科学伦理学导论	32	2
基因追踪	32	2.0
信号与系统设计	64	4
人工智能进阶	64	4
高级德语（2）	64	4
基础德语（4）	96	6
德语综合（4）	32	2
德语视听说（4）	32	2
工业4.0基础	48	3
中日翻译专题研讨（2）	32	2
毕业设计(论文)(英语)	128	8
土木工程材料	32	2
数据智能平台设计及实现	64	4
工程数值方法	48	3
软体机器人技术	48	3
语音与言语科学	32	2
VR/AR&游戏设计与开发	64	4
毕业设计（论文）（经管）	256	16
高级计量经济学	48	3
先进数字系统芯片设计	32	2
AI驱动的跨学科探索	16	1
法语二外（2）	64	4
翻译实践	32	2
汉语二（上）	30	2
科学技术史专题	48	3.0
花卉与草虫禽鸟	32	2.0
影像表达	64	4
交互故事设计	96	6
大学生心理健康：人际关系与沟通	32	2.0
基于安卓开发平台的电子系统综合设计	32	2.0
哲学导论	48	3.0
世界变迁中的大国博弈	32	2.0
强基专业研讨II	32	2
Python编程及数据科学基础	48	3
粒子物理与核物理实验方法	48	3
