课程名称	学时	学分
程序设计基础（Python）	48	3
影视文化赏析	32	2
机械工程实践项目	32	2
多面向的英帝国史	48	3
语言数据与Python应用	32	2
高级德语（2）	64	4
英语学术论文写作（翻译）	32	2
创新致胜战略及管理	32	2
力学	48	3
热学	32	2
数据法	32	2
医用基础化学(C类)	60	3.5
听力科学	32	2
航空人为因素	32	2
传热传质工程实践	32	2
金融科技概论	32	2
解剖与生理（1）	32	2
数字人文专题	32	2
中外叙事比较	32	2
剧本写作（一）	32	2
数字营销：理论与实践	32	2
互联网与新媒体实务	32	2
智能图形图像应用	48	3
人口与社会	32	2
摄影技术与图片报道	32	2
影视导演基础	32	2
网络空间安全及法律法规	32	2
社会实习（传播学）（2）	48	3
综合英语（J类）	56	4
储能前沿技术	32	2
经济学原理与中国发展	48	3
国际文化贸易	32	2
新闻采访与写作	32	2
法语1	192	12
云计算安全	32	2
密码工程实践	32	2
数据库原理及安全	32	2
文化产业政策与法规	32	2
船舶快速性	48	3
船舶与海洋工程结构设计	64	4
船舶流体力学-Ⅱ	32	2
药理学实验	48	1.5
药剂学实验	48	1.5
高等数学B1	56	4
有机化学1	48	3
有机化学2	48	3
体育N（3）	32	2
高等微分学与数值计算	96	6
计算机网络	48	3
系统芯片设计	64	4
计算机导论（进阶版）	64	4
电气工程基础（1）	64	4
地下基础工程概论	32	2
智慧能源系统设计实践	64	4
运动生理学	48	3
纪录片编导	32	2
世界动画大师及其作品	32	2
媒体融合与新闻策划	32	2
大数据与舆情分析	32	2
思想道德与法治	48	3
风景园林毕业实习	64	2
区块链与数字货币	32	2
日语二外(3)	64	4
工程体验与创新	64	2
学术写作与规范	48	2
微分方程	60	4
光学与光子学	42	3
电路实验	32	2
普通话正音	32	2
半导体器件工艺	80	4
食品分析实验	48	1.5
力学与热学	64	4
现代塑性成形技术	48	3
生物学实验（1）	64	4
综合英语（B类）（3）	32	2
固体化学	32	2
理论力学（荣誉）	64	4
大学语文	64	4
西方音乐史	32	2
计算机系统基础（1）	80	4
模拟电子技术	32	2
寻医问材:医学发展中的材料变革	32	2
数据通信网络模型和算法	32	2
生物学实验（3）	64	4
电网数字化保护控制技术及应用	32	2
机器人学导论（J类）	42	3
材料力学	48	3
交通运输系统课程设计	32	2
大学语文（1）	64	4
程序设计与算法导论	64	4
语言研究项目	32	2
从沙砾到芯片：无机非金属材料的奥秘与研究逻辑	32	2
性别、亲密关系与社会	32	2
专业实习（储能科学与工程）	96	3
组合数学	48	3
美育实践	32	2
智能交通系统	32	2
比较文学研究项目	32	2
中国概况A	32	2
精密超精密加工与测量	48	3
氢能技术与应用	48	3
科技实习与创新－生物信息学（2）	32	1
教育与全球发展	32	2
中国现当代歌曲歌词鉴赏与文化研究	48	3
产品DFX设计	48	3
工程统计与质量	48	3
能源化学基础	64	4
智能制造装备与系统	48	3
多机器人系统与控制	48	3
高等数学（N）I	64	4
芳香植物与大健康	32	2
经典小说与中国文化	32	2
工程经济与管理	32	2
能源材料	48	3
工程实践与科技创新II	32	2
大学化学（荣誉）	48	3
图论与计算代数	96	6
Python语言程序设计	32	2
中西乐理及其应用	32	2
智慧育种	48	3
法语入门	64	4
先进储能原理与技术	48	3
自动控制工程	48	3
组织设计与发展	32	2
线性代数（荣誉）	64	4
智能装配与质量控制	48	3
中国医疗保险制度的转型发展与创新	32	2
汉语视听说（1）	64	4
细菌与人	32	2
中文经典阅读（1）	64	4
操作系统导论实验	16	1
精准医学与我们的健康	32	2
健康与护理	34	2
计算机科学中的伦理问题	32	2
大学物理（N类）（2）	64	4
船舶噪声基础	32	2
材料结构、物理与化学表征	45	3
计算机系统（1）	64	4
概率统计（荣誉）	48	3
公共部门绩效管理	48	3
职业生涯发展与规划	32	2
专业实习（传播学）（2）	16	1
中华文明史：明清社会变迁与早期全球化	32	2
英语公众演讲	32	2
走进神秘的番茄世界	32	2
医用物理学（B类）	43	2.5
生物学导论	48	3
弹性理论	64	4
机器学习中的优化	48	3
飞行力学	48	3
汽车数字化制造	48	3
先进热工测试技术	48	3
汽车电子与智能控制	48	3
外国文学名著与电影赏析	32	2
燃料电池原理与技术	48	3
智慧能源与能源互联网	48	3
继电保护课程设计	64	2
嵌入式系统设计	48	3
现代汉语A(1)	64	4
有机化学（2）	64	4
线性代数	48	3
中国古典美学研究	48	3
密码学导论	48	3
体育N（5）	32	2
功能材料与器件概论	48	3
医学系统生物学	16	1
二战与中国	32	2
经济全球化与中国的崛起	32	2
合唱声乐	32	2
音乐表演实践	48	3
信息与感知	32	2
人工智能与人文社科	32	2
专业导论（数学、统计学）	8.5
设计思维	16	1
广告的力量	32	2
能源化学	48	3
工程心理学	32	2
英语与法语词汇中的欧洲文化	64	4
操作系统导论	60	4
表演艺术实践	32	2
机械与动力仿真实践（能动类）	64	4
结构力学（B类）（2）	32	2
社会科学研究方法	32	2
大数据处理	48	3
食品营养与健康	32	2
现代传感技术	48	3
传统文体写作	32	2
创意写作（初阶）	32	2
算法设计	48	3
创业：从零到一	48	3
交互技术	64	4
设计与心理学	32	2
保险科技	32	2
大学英语N（3）	48	3
造型艺术实践—水彩	32	2
金融心智：金融素养的提升	32	2
钱学森与中国科技事业	32	2
造型艺术实践-油画	32	2
世界名剧精品赏析	48	3
热能动力工程	32	2
欧洲经济学概论	32	2
生物学实验一	48	1.5
无机化学实验	32	1
机器学习（强化）	64	3
乐理基础与歌曲写作	32	2
环境大气科学	32	2
英汉对比与翻译	32	2
世界艺术经典导引	48	3
生物医学信息检测	32	2
科技实习与创新（1）－生物工程	32	1
智能产品创新工程	48	3
德语综合（1）	64	4
计算机体系结构	48	3
美国政府与政治	32	2
万物之材：面向日常生活的材料工程	32	2
研讨课III	32	2
陶瓷里的古代中国	32	2
英语经典名作赏析	32	2
AI与农业应用综合设计	64	2
在线算法	32	2
资源管理	32	2
智慧环境	32	2
气候变化导论	32	2
工程科技导论	48	3
粒子物理与核物理	48	3
城市规划导论	32	2
双碳导论	32	2
现代西方哲学	48	3
低碳健康建筑概论	16	1
高级算法选讲	48	3
应急管理导论	32	2
综合运输与多式联运	48	3
模拟法庭	48	3
模拟电子实验	16	1
管理学原理（B类）	48	3
全球化创新：原理与实践	48	3
创业辅修专业实践课（二）	48	3
软件基础实践	32	2
知识融合与创新设计	32	2
应用文写作	32	2
文化视野下的美国历史	32	2
凝聚态物理专题	48	3
证据法	32	2
芳香疗法与身心健康	32	2
人工智能算法实践	64	2
量子精密测量	32	2
随机性、复杂性初探	32	2
网络环境下的文科信息检索	32	2
激光射击	32	1
储能原理	32	2
离散数学（A类）	48	3
国际能源转型与发展趋势	32	2
数据库原理与系统	80	4
数字信号处理技术与应用	48	3
科学计算选讲	48	3
计算机网络（强化）	48	3
互联网产品开发与运维	96	3
德语综合（3）	32	2
人际交往艺术	32	2
热控材料导论：从地面到空间	32	2
数据科学和python数据分析	64	4
中国服饰艺术专题选讲	32	2
钢琴音乐	32	2
电子信息创新实践	32	2
系统安全	32	2
设计基础1：设计构成	64	4
基础德语（3）	96	6
产品设计3：交通工具设计	64	4
中国书画鉴赏与实践	32	2
新能源与新型电力系统	32	2
西方哲学经典导读	32	2
线性代数（N）	48	3
能源系统仿真实验	32	2
工程图学（1）	32	2
国际化拔尖创新人才科研训练	48	3
生命科学史	16	1
环境修复与人类健康	32	2
人工智能技术及应用	32	2
VR/AR设计与开发实践	32	2
微生物海洋学与极端生命	32	2
神奇的催化剂—新能源开发和环境净化中的催化技术	16	1
德语阅读实践（1）	16	1
海洋统计分析	48	3
梵语（1）	32	2
核电厂系统与运行原理	48	3
微生物基因组学与抗菌素耐药性	16	1
花卉应用学	32	2
基于华为AI平台的深度学习实践	32	2
无人机系统总体设计	32	2
新船型研究与探索	32	2
材料加工智能化发展引论	16	1
城市可持续发展	32	2
什么是数字新媒体产业(TMT)	16	1
特殊用途英语写作	32	2
仿人机器人创新实践	32	2
走进极地	32	2
电子废物-资源-环境	32	2
作曲技术理论（1）	48	3
农业有害生物防控的基因设计	32	2
现代汽车排放污染物控制新技术	48	3
中药学通论	32	2
MATLAB基础与在科学计算中的实践	32	2
海洋科学	32	2
大学化学（N）	32	2
基因追踪	32	2
绘画基础	32	2
遗传发育与精神神经疾病	16	1
各国政府与政治	32	2
数理方法（荣誉）	48	3
插花艺术	16	1
农业遥感与监测综合实验	48	1.5
基础法语(上)	64	4
哲学原理	32	2
法语词汇与文化	48	3
日语与跨文化交流	32	2
西方政治学入门	32	2
生物医电与信号创新实践	16	1
电化学能量储存与转换	16	1
飞行器智能设计与制造	32	2
西方宗教文化概论	32	2
陶艺与艺术铸造	32	2
基于HarmonyOS的软硬协同创新实践	32	2
植物与生活	32	2
核能与环境	32	2
工业与环境微生物技术	32	2
镁合金及其成形技术	16	1
能源大数据	32	2
设计院实习	256	8
基因组与现代遗传学	32	2
农业与环境	32	2
温室作物生长模型与专家决策系统	32	2
文化美学与创意设计	32	2
产品设计2：形式与功能	64	4
科学研究与创新实践	16	1
自我、群体与发展	32	2
信息论基础	32	2
统计软件与算法	48	3
常微分方程	64	4
计算机基础（1）	64	4
网络	64	4
世界音乐文化	32	2
数字化营销	32	2
大数据算法与分析	48	3
动态设计	64	4
园林历史	32	2
金属材料科学课程设计	32	1
版面设计	64	4
字体设计	64	4
大学写作和文学鉴赏	32	2
体育（5）	16	1
体育心理学	48	3
建筑设计原理	32	2
人工智能与艺术设计	32	2
计算机组成件导论	56	4
星系物理学	48	3
汉语四（下）	32	2
金属有机化学	32	2
预科英语（1）	96	6
西方文学史（1）	32	2
电力系统优化运行与市场化	32	2
西方文学史（3）	32	2
电力系统规划	32	2
新能源材料概论	32	2
组织智能化	32	2
人工智能电影理论与实践	32	2
设计基础	64	4
刑法分论	64	4
数理方法（N）	48	3
日语技能训练（1）	64	4
中日汉字文化比较	32	2
前期导师（1）	16	1
现代汉语（1）	32	2
跨文化视野下传统媒介与技法的当代创新	32	2
日语（1）	64	4
创新科研实践I	32	2
影视精品赏析	32	2
人工智能基础与实践	48	3
能源实验I	96	3
储能系统及应用	64	4
人居环境与可持续发展	32	2
摄影技术基础	48	3
语言数据科学理论与Python应用	32	2
结构力学（D类）	32	2
综合英语 III	32	2
综合英语 II	32	2
医学生职业生涯规划（1）	15	1
高级英语演讲	32	2
人工智能基础	32	2
汉英笔译	32	2
跨文化交际	32	2
文学阅读与写作实验课堂	32	2
中国文化产业专题报告	32	2
体育竞赛学	32	2
高等计算方法	48	3
新型电力系统	64	4
专项专修（1）	192	6
专项专修（3）	192	6
数值线性代数	48	3
生物力学与生物材料	64	4
自动控制原理	48	3
智能电动化交通	32	2
综合英语 I 	32	2
艺术基础1	32	2
室内高尔夫	32	1
击剑	32	1
匹克球	32	1
软式曲棍球	32	1
人居环境系统科学	32	2
人居环境规划原理	32	2
基因与健康	32	2
探索奇妙的蛋白质世界	32	2
自行车	32	1
细胞生物学和组织学	64	4
健康经济学与政策	64	4
人居设计初步	64	4
传播与社会	48	3
中级综合法语（1）	64	4
智能船舶基础-Ⅱ	48	3
欧盟法律文化导论	32	2
桥牌与博弈论	48	3
数理方法（A类）	48	3
昆虫仿生	32	2
景观认知与表达	64	4
汉语四（上）	30	2
隧道与地下工程	32	2
中国建筑史	32	2
摄影与印刷设计	64	4
心理学与脑科学技术	32	2
专业实践1	32	2
信息设计	64	4
写作	32	2
生物艺术工坊	32	2
环境学导论	16	1
统计思维	32	2
大模型技术	32	2
学术前沿讲座	32	2
化学原理	64	4
无机材料化学	32	2
AI与商业数据分析	32	2
人工智能基本原理与工程实践I（智能导论）	32	2
生涯发展	32	2
随机过程	48	3
物理实验（2）	32	2
数学物理方法	64	4
专业实践（文化产业管理）（1）	96	3
艺术理论与实践	48	3
人工智能治理：技术、法律与政策	32	2
专业导师（1）	16	1
艺术歌曲演唱与技巧训练	32	2
健康中国（1）	16	1
中国社会分析	32	2
数理基础衔接微课	8.5
诗国与诗魂	32	2
生物信息学概论	16	1
数学的历史与文化	32	2
解锁内心力量：情绪与自我管理体验	32	2
情绪、个人特质与心理韧性	32	2
遇见自我，青春飞扬——自我探索与自我认识	32	2
善用精力管理，助力大学生活	32	2
创新设计制图	32	2
微纳材料与生命健康	32	2
工程师科技基础（笛卡尔班）	48	3
学习（困难）的机制与提升技巧	32	2
对话压力与情绪：从情绪解码到韧性建构成长课	32	2
学习心理与自我成长	32	2
符号计算与强非线性方程	32	2
学业规划和身心调节	32	2
快速心理疏导的方法与艺术	32	2
新生自我探索与人际关系发展	32	2
生命的设计与调控：人工智能应用与展望	32	2
自我探索与创造之旅	32	2
心理探索之旅：与内心同频，与他人共振	32	2
电化学基础与应用	64	4
向内探索与对外表达——寻找积极的自己	32	2
日语听说（1）	32	2
大数据分析方法	48	3
量子信息技术	48	3
量子信息技术实践	16	1
高阶通用学术英语	32	2
英汉口译	32	2
英语口语	32	2
离散时间信号处理	32	2
生物医学信号与影像处理基础	48	3
英语精读（1）	32	2
PPE看上海系列调研（上）	8.5
哲学导论	32	2
计算经济学	48	3
体育社会学	32	2
运动训练学	32	2
英文经典阅读实践（1）	32	2
运动技能学习与控制	32	2
法语 3	64	4
Python程序设计	48	3
人工智能基本原理与工程实践II（机器学习、深度学习、强化学习）	48	3
数据科学导论	48	3
逻辑学	32	2
运动解剖学	32	2
体育概论	32	2
景观艺术学	32	2
考古学专题	48	3
日语视听说（2）	32	2
集成电路与电子信息创新前沿导论	32	2
视频多媒体检索实践	32	2
国家安全教育	16	1
碳中和商业与科技	32	2
动手学深度学习（Python）	32	2
医+X创新实践项目2	32	2
工程伦理与工程师文化	32	2
海洋平台设计	32	2
劳动和社会保障法	32	2
医学技术学导论	16	1
健康教育学	32	2
政治与情感	32	2
应用数学导论	32	2
生命科学实验探索	32	2
机械与动力仿真实践（机械类）	64	4
工程师科技基础	48	3
材料化学实验	32	1
马克思主义新闻观与新时代	32	2
新媒体与数字文化	32	2
艺术基础2	32	2
微小机器人驱动原理与系统设计	48	3
英语口语基础	32	2
电气工程原理	48	3
政治经济学经典导读 	32	2
国际新闻理论与实务	32	2
生物技术与人类	32	2
智能医学工程导论	32	2
真诚信任的人际交往与恋爱关系探索之旅	32	2
古代汉语(1）	32	2
幸福课--积极心理学的PERMA模型	32	2
自我探索：多元艺术形式赋能心理成长	32	2
我和我的人生小伙伴：自我探索与人际交往	32	2
自我发现之旅，拥抱真实的自己	32	2
海洋土木工程	32	2
“我们”的力量：积极关系与自我成长之旅	32	2
大学生心理健康	32	2
程序设计与数据结构Ⅰ	64	3
海洋化学与AI	32	2
积极音乐治疗	32	2
供应链管理导论	48	3
心理咨询与治疗导论	64	4
飞行器设计的自然原理与启发	32	2
营销管理	32	2
心灵的破冰者：萨提亚模式下的人际联结与成长	32	2
新生自我探索与赋能心理成长	32	2
领导力	32	2
智能车感知与控制实践	32	2
GPU设计与应用	32	2
日语（2）	64	4
器械健身	32	1
欧美现代派文学与艺术	32	2
概率统计（A类）	48	3
知己悦己——大学生的适应与情绪调节	32	2
储能系统设计与实践	64	4
刑事诉讼法	48	3
复分析	64	4
自动化仪表	32	2
市场调研	32	2
微机原理实验	32	1
日汉互译（2）	32	2
半导体物理与器件	48	3
热处理及其智能化	48	3
可持续能源	32	2
程序设计思想与方法（荣誉）(C++)	80	4
植物景观规划设计	48	3
环境监测与评价	32	2
文化与科技	45	3
并行与分布式程序设计	48	3
生物统计方法	48	3
好莱坞电影研究	32	2
中国近代史专题研究	48	3
攀树	32	1
程序设计思想与方法（C++）	80	4
咏春防身术	32	1
电路理论	64	4
龙舟	32	1
陆地冰壶	32	1
飞盘	32	1
台球	32	1
